Prompt,Mean CLIP Score
A_realistic_shark_jumping_out_of_the_water,38.22931
An_8K_picture_of_a_delicious_ice_corn_with_vanilla_and_chocolade_ice,38.94422
A_true_to_life_8k_corgi_dog,40.195194
A_DSLR_photo_of_a_fast_red_sportscar,34.54406
a_4k_photo_of_a_white_teapot,36.160366
An_open_laptop_playing_a_video_of_a_dancing_man,21.319435
a_high-quality_4k_picture_of_a_brown_horse,35.248398
a_high-quality_photo_realistic_render_of_a_chair,33.343437
a_pair_of_sunglasses,29.164755
A_shark_attacking_a_fishers_boat_in_4k_with_high_realism,32.216537
