Prompt,Mean CLIP Score
A_realistic_shark_jumping_out_of_the_water,37.241413
An_8K_picture_of_a_delicious_ice_corn_with_vanilla_and_chocolade_ice,28.530462
A_true_to_life_8k_corgi_dog,36.91217
A_shark_attacking_a_fisher's_boat_in_4k_with_high_realism,29.303211
A_DSLR_photo_of_a_fast_red_sportscar,21.355667
a_4k_photo_of_a_white_teapot,35.297268
An_open_laptop_playing_a_video_of_a_dancing_man,19.853006
a_high-quality_4k_picture_of_a_brown_horse,32.92797
a_high-quality_photo_realistic_render_of_a_chair,35.949432
a_pair_of_sunglasses,30.545094
