Prompt,Mean CLIP Score
A_realistic_shark_jumping_out_of_the_water,37.39619
An_8K_picture_of_a_delicious_ice_corn_with_vanilla_and_chocolade_ice,37.052383
A_true_to_life_8k_corgi_dog,39.95918
A_shark_attacking_a_fisher's_boat_in_4k_with_high_realism,31.588978
A_DSLR_photo_of_a_fast_red_sportscar,35.13142
a_4k_photo_of_a_white_teapot,36.321014
An_open_laptop_playing_a_video_of_a_dancing_man,21.542711
a_high-quality_4k_picture_of_a_brown_horse,33.32044
a_high-quality_photo_realistic_render_of_a_chair,33.345844
a_pair_of_sunglasses,31.951975
