Prompt,Mean CLIP Score
A_realistic_shark_jumping_out_of_the_water,35.59426
An_8K_picture_of_a_delicious_ice_corn_with_vanilla_and_chocolade_ice,37.164978
A_true_to_life_8k_corgi_dog,38.247906
A_DSLR_photo_of_a_fast_red_sportscar,28.043036
a_4k_photo_of_a_white_teapot,32.489185
An_open_laptop_playing_a_video_of_a_dancing_man,19.259212
a_high-quality_4k_picture_of_a_brown_horse,28.045303
a_high-quality_photo_realistic_render_of_a_chair,28.874039
a_pair_of_sunglasses,25.301416
A_shark_attacking_a_fishers_boat_in_4k_with_high_realism,31.75593
