Prompt,Mean CLIP Score
A_realistic_shark_jumping_out_of_the_water,35.827354
An_8K_picture_of_a_delicious_ice_corn_with_vanilla_and_chocolade_ice,31.004385
A_true_to_life_8k_corgi_dog,36.648018
A_DSLR_photo_of_a_fast_red_sportscar,20.348267
a_4k_photo_of_a_white_teapot,35.901077
An_open_laptop_playing_a_video_of_a_dancing_man,19.605984
a_high-quality_4k_picture_of_a_brown_horse,32.563705
a_high-quality_photo_realistic_render_of_a_chair,35.39033
a_pair_of_sunglasses,28.141378
A_shark_attacking_a_fishers_boat_in_4k_with_high_realism,28.038406
