Prompt,Mean CLIP Score
A_realistic_shark_jumping_out_of_the_water,37.1971
An_8K_picture_of_a_delicious_ice_corn_with_vanilla_and_chocolade_ice,32.679287
A_true_to_life_8k_corgi_dog,37.392754
A_DSLR_photo_of_a_fast_red_sportscar,22.032475
a_4k_photo_of_a_white_teapot,35.208885
An_open_laptop_playing_a_video_of_a_dancing_man,23.13815
a_high-quality_4k_picture_of_a_brown_horse,33.2253
a_high-quality_photo_realistic_render_of_a_chair,34.655098
a_pair_of_sunglasses,40.211002
A_shark_attacking_a_fishers_boat_in_4k_with_high_realism,33.558136
