Prompt,Mean CLIP Score
A_realistic_shark_jumping_out_of_the_water,38.26806
An_8K_picture_of_a_delicious_ice_corn_with_vanilla_and_chocolade_ice,32.919975
A_true_to_life_8k_corgi_dog,40.590504
A_shark_attacking_a_fisher's_boat_in_4k_with_high_realism,33.804832
A_DSLR_photo_of_a_fast_red_sportscar,33.510353
a_4k_photo_of_a_white_teapot,34.90831
An_open_laptop_playing_a_video_of_a_dancing_man,19.395424
a_high-quality_4k_picture_of_a_brown_horse,34.758186
a_high-quality_photo_realistic_render_of_a_chair,32.064285
a_pair_of_sunglasses,31.270926
